titulo, autor, año, categoria
The Song of Rhiannon, Evangeline Walton,Fiction, 1972, Fantasia 
Heart Songs and Other Stories, Annie Proulx, 1988, Ficcion
The voyage of the Dawn Treader, Clive Staples Lewis, 1952, Juvenil 
The Short Stories of Ernest Hemingway, Ernest Hemingway,1987, Ficcion
Reason in History,Georg Wilhelm Friedrich Hegel,1965, Filosofia 
The Elements of Style, William Strunk , 1918, Clasico
Spandau:The Secret Diaries,Albert Speer,1975, Historia 
The Rumble Seat Pony, Clarence William Anderson,1971, Infantil
The Journey with Grandmother,Edith Unnerstad,1956, Infantil 
Tyranny of the Majority:Funamental Fairness in Representative Democracy,Lani Guinier, 1994, Historia 
The Origins of the Civil Rights Movement, Aldon D. Morris, 1984, Historia 
Presidential Power and the Modern Presidents:The Politics of Leadership from Roosevelt to Reagan, Richard E. Neustadt, 1960, Historia 
"Rest, Rabbit, Rest", Jacquelyn Reinach, 1978, Infantil
Where the Red Fern Grows,Wilson Rawls,1961, Infantil 
Poppy's Return, Avi, 2005, Infantil 
Diary of a Spider,Doreen Cronin,1996, Infantil 
An Old-Fashioned Thanksgiving,Louisa May Alcott, 1868, Infantil
The Paradox of Choice:Why More Is Less,Barry Schwartz, 2004, Psicologia 
How to Read Literature Like a Professor,Thomas C. Foster,2003, Literatura 
The Amazing Maurice and His Educated Rodents, Terry Pratchett, 2001, Fantasia 
The Wee Free Men, Terry Pratchett, 2003, Fantasia 
Going Postal, Terry Pratchett,2004, Ficcion 
Modern Mind: An Intellectual History of the 20th Century,Peter Watson,2000, Historia 
She Went All the Way, Meg Cabot, 2002, Romance 
A Year in the Life of William Shakespeare:1599,James Shapiro, 2005, Historia 
Lucy Sullivan Is Getting Married, Marian Keyes,1996, Romance 
The Terminal Man, Michael Crichton,1972, Thriller 
The Art of the Novel,Milan Kundera, 1986, Literatura 
The Bromeliad Trilogy, Terry Pratchett, 1989, Fantasia 
"Merry Christmas, Amelia Bedelia", Peggy Parish, 1986, Infantil 
The Bourne Identity,Robert Ludlum, 1980, Thriller
The thief of always: A fable, Clive Barker, 1992, Fantasia
The Illustrated Alchemist:A Fable About Following Your Dream,Paulo Coelho, 1988, Fantasia
Mars and Venus Book of Days:365 Inspriations to Enrich Your Relationships,John Gray,1998, Autoayuda 
The Last of the Really Great Whangdoodles, Julie Andrews Edwards,1974, Fantasia
Today I Feel Silly & Other Moods That Make My Day, Jamie Lee Curtis, 1998, Infantil
